slot,property,sample_type,value
fao_class,description,monet-soil,Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at https://www.isric.org/explore/world-soil-distribution
fao_class,type,soil,string
fao_class,type,monet-soil,string
fao_class,enum,soil,AcrisolsAlisolsAndosolsAnthrosolsArenosolsCalcisolsCambisolsChernozemsCryosolsDurisolsFerralsolsFluvisolsGleysolsGypsisolsHistosolsKastanozemsLeptosolsLixisolsLuvisolsNitisolsPhaeozemsPlanosolsPlinthosolsPodzolsSolonchaksSolonetzStagnosolsTechnosolsUmbrisolsVertisols
fao_class,enum,monet-soil,AcrisolsAlisolsAndosolsAnthrosolsArenosolsCalcisolsCambisolsChernozemsCryosolsDurisolsFerralsolsFluvisolsGleysolsGypsisolsHistosolsKastanozemsLeptosolsLixisolsLuvisolsNitisolsPhaeozemsPlanosolsPlinthosolsPodzolsSolonchaksSolonetzStagnosolsTechnosolsUmbrisolsVertisols
fertilizer_regm,title,other-undescribed,fertilizer regimen
fertilizer_regm,title,plant,fertilizer regimen
fertilizer_regm,description,other-undescribed,Information about treatment involving the use of fertilizers; should include the name of fertilizer amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple fertilizer regimens
fertilizer_regm,description,plant,Information about treatment involving the use of fertilizers; should include the name of fertilizer amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple fertilizer regimens
fertilizer_regm,type,other-undescribed,string
fertilizer_regm,type,plant,string
filter_method,title,other-undescribed,filter method
filter_method,title,soil,filter method
filter_method,title,water,filter method
filter_method,title,pure-culture,filter method
filter_method,title,culture-environmental,filter method
filter_method,description,other-undescribed,Type of filter used or how the sample was filteres
filter_method,description,soil,Type of filter used or how the sample was filteres
filter_method,description,water,Type of filter used or how the sample was filteres
filter_method,description,pure-culture,Type of filter used or how the sample was filteres
filter_method,description,culture-environmental,Type of filter used or how the sample was filteres
filter_method,type,other-undescribed,string
filter_method,type,soil,string
filter_method,type,water,string
filter_method,type,pure-culture,string
filter_method,type,culture-environmental,string
fire,title,other-undescribed,fire
fire,title,soil,fire
fire,title,sediment,fire
fire,title,monet-soil,fire
fire,description,other-undescribed,Historical and/or physical evidence of fire
fire,description,soil,Historical and/or physical evidence of fire. Format: YYYY-MM-DD
fire,description,sediment,Historical and/or physical evidence of fire. Format: YYYY-MM-DD
fire,description,monet-soil,Historical and/or physical evidence of fire. Format: YYYY-MM-DD
fire,type,other-undescribed,string
fire,type,soil,string
fire,type,sediment,string
fire,type,monet-soil,string
first_blh,title,aerosol-arm,first boundary layer height
first_blh,description,aerosol-arm,First boundary layer height candidate (meters) (Unit: m)
first_blh,type,aerosol-arm,number
first_blh_quality_index,title,aerosol-arm,first boundary layer height quality
first_blh_quality_index,description,aerosol-arm,Quality index for first boundary layer height candidate (-999 if no candidate)
first_blh_quality_index,type,aerosol-arm,string
first_cbh,title,aerosol-arm,first cloud base height
first_cbh,description,aerosol-arm,First cloud base (meters) or vertical visibility (meters) (-999 if no cloud base or vertical visibility) (Unit: m)
first_cbh,type,aerosol-arm,number
flooding,title,other-undescribed,flooding
flooding,title,soil,flooding
flooding,title,sediment,flooding
flooding,title,monet-soil,flooding
flooding,description,other-undescribed,Historical and/or physical evidence of flooding
flooding,description,soil,Historical and/or physical evidence of flooding. Format: YYYY-MM-DD
flooding,description,sediment,Historical and/or physical evidence of flooding. Format: YYYY-MM-DD
flooding,description,monet-soil,Historical and/or physical evidence of flooding. Format: YYYY-MM-DD
flooding,type,other-undescribed,string
flooding,type,soil,string
flooding,type,sediment,string
flooding,type,monet-soil,string
fluor,title,other-undescribed,fluorescence
fluor,title,water,fluorescence
fluor,description,other-undescribed,Raw or converted fluorescence of water
fluor,description,water,Raw or converted fluorescence of water. Provide value and unit any unit is valid.
fluor,type,other-undescribed,string
fluor,type,water,string
fungicide_regm,title,other-undescribed,fungicide regimen
fungicide_regm,title,plant,fungicide regimen
fungicide_regm,description,other-undescribed,Information about treatment involving use of fungicides; should include the name of fungicide amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple fungicide regimens
fungicide_regm,description,plant,Information about treatment involving use of fungicides; should include the name of fungicide amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple fungicide regimens
fungicide_regm,type,other-undescribed,string
fungicide_regm,type,plant,string
gaseous_environment,title,field-deployed-terraform,gaseous environment
gaseous_environment,title,other-undescribed,gaseous environment
gaseous_environment,title,soil,gaseous environment
gaseous_environment,title,water,gaseous environment
gaseous_environment,title,pure-culture,gaseous environment
gaseous_environment,title,culture-environmental,gaseous environment
gaseous_environment,title,mixed-culture,gaseous environment
gaseous_environment,title,sediment,gaseous environment
gaseous_environment,title,terraform,gaseous environment
gaseous_environment,title,plant,gaseous environment
gaseous_environment,description,field-deployed-terraform,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,other-undescribed,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,soil,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,water,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,pure-culture,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,culture-environmental,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,mixed-culture,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,sediment,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,terraform,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,description,plant,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens
gaseous_environment,type,field-deployed-terraform,string
gaseous_environment,type,other-undescribed,string
gaseous_environment,type,soil,string
gaseous_environment,type,water,string
gaseous_environment,type,pure-culture,string
gaseous_environment,type,culture-environmental,string
gaseous_environment,type,mixed-culture,string
gaseous_environment,type,sediment,string
gaseous_environment,type,terraform,string
gaseous_environment,type,plant,string
gaseous_substances,title,other-undescribed,gaseous substances
gaseous_substances,description,other-undescribed,amount or concentration of substances such as hydrogen sulfide carbon dioxide methane etc.; can include multiple substances
gaseous_substances,type,other-undescribed,string
genetic_mod,title,field-deployed-terraform,genetic modification
genetic_mod,title,other-undescribed,genetic modigication
genetic_mod,title,pure-culture,genetic modification
genetic_mod,title,culture-environmental,genetic modification
genetic_mod,title,mixed-culture,genetic modification
genetic_mod,title,terraform,genetic modifications
genetic_mod,title,synthesized-material,genetic modification
genetic_mod,title,plant,genetic modification
genetic_mod,description,field-deployed-terraform,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,description,other-undescribed,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,description,pure-culture,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,description,culture-environmental,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,description,mixed-culture,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,description,terraform,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,description,synthesized-material,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,description,plant,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection
genetic_mod,type,field-deployed-terraform,string
genetic_mod,type,other-undescribed,string
genetic_mod,type,pure-culture,string
genetic_mod,type,culture-environmental,string
genetic_mod,type,mixed-culture,string
genetic_mod,type,terraform,string
genetic_mod,type,synthesized-material,string
genetic_mod,type,plant,string
genotype_segment_category,title,engineered-strain,genotype segment category
genotype_segment_category,description,engineered-strain,Select the genotype category. A genotype is generally an expression cassett or a grouping of genetic elements or a gene edit containing a set of construct components leading to one or more intended traits. A strain may consist of multiple genotypes.
genotype_segment_category,type,engineered-strain,string
genotype_segment_category,enum,engineered-strain,Empty Transformation VectorGene Knock-OutGene SilencerGene(s) of InterestRNA Interface (RNAi)Screenable MarkerSelectable MarkerVirus GenomeWild TypeRecombination SiteOther
genotype_segment_name,title,engineered-strain,genotype segment name
genotype_segment_name,description,engineered-strain,Provide a name that describes the genotype modification engineered relative to the reference unmodified genome. The name should describe the spatially grouped components or specific function of the modification.
genotype_segment_name,type,engineered-strain,string
geo_loc_name,title,field-deployed-terraform,geographic location name
geo_loc_name,title,other-undescribed,geographic location name
geo_loc_name,title,soil,geographic location name
geo_loc_name,title,water,geographic location name
geo_loc_name,title,aerosol,geographic location name
geo_loc_name,title,aerosol-arm,geographic location name
geo_loc_name,title,culture-environmental,geographic location name
geo_loc_name,title,sediment,geographic location name
geo_loc_name,title,monet-soil,geographic location name
geo_loc_name,title,plant,geographic location name
geo_loc_name,description,field-deployed-terraform,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,other-undescribed,The geographical origin of the sample as defined by the country or sea name followed by specific region name. Provide the location of where the sample originated.
geo_loc_name,description,soil,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,water,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,aerosol,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,aerosol-arm,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,culture-environmental,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,sediment,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,monet-soil,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,description,plant,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site]
geo_loc_name,type,field-deployed-terraform,string
geo_loc_name,type,other-undescribed,string
geo_loc_name,type,soil,string
geo_loc_name,type,water,string
geo_loc_name,type,aerosol,string
geo_loc_name,type,aerosol-arm,string
geo_loc_name,type,culture-environmental,string
geo_loc_name,type,sediment,string
geo_loc_name,type,monet-soil,string
geo_loc_name,type,plant,string
glucosidase_act,title,other-undescribed,glucosidase activity
glucosidase_act,title,water,glucosidase activity
glucosidase_act,title,sediment,glucosidase activity
glucosidase_act,description,other-undescribed,Measurement of glucosidase activity
glucosidase_act,description,water,Measurement of glucosidase activity (Unit: mol/L/h)
glucosidase_act,description,sediment,Measurement of glucosidase activity (Unit: mol/L/h)
glucosidase_act,type,other-undescribed,string
glucosidase_act,type,water,string
glucosidase_act,type,sediment,string
gravity,title,other-undescribed,gravity
gravity,title,plant,gravity
gravity,description,other-undescribed,Information about treatment involving use of gravity factor to study various types of responses in presence absence or modified levels of gravity; treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple treatments
gravity,description,plant,Information about treatment involving use of gravity factor to study various types of responses in presence absence or modified levels of gravity; treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple treatments
gravity,type,other-undescribed,string
gravity,type,plant,string
growth_facil,title,field-deployed-terraform,growth facility
growth_facil,title,other-undescribed,growth facility
growth_facil,title,soil,growth facility
growth_facil,title,water,growth facility
growth_facil,title,aerosol,growth facility
growth_facil,title,aerosol-arm,growth facility
growth_facil,title,pure-culture,growth facility
growth_facil,title,culture-environmental,growth facility
growth_facil,title,commercially-purchased,growth facility
growth_facil,title,mixed-culture,growth facility
growth_facil,title,sediment,growth facility
growth_facil,title,terraform,growth facility
growth_facil,title,synthesized-material,growth facility
growth_facil,title,monet-soil,growth facility
growth_facil,title,plant,growth facility
growth_facil,description,field-deployed-terraform,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,other-undescribed,Type of facility where the sample was collected or grown
growth_facil,description,soil,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,water,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,aerosol,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,aerosol-arm,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,pure-culture,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,culture-environmental,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,commercially-purchased,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,mixed-culture,Type of facility where the sample was collected or grown
growth_facil,description,sediment,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,terraform,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,synthesized-material,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,monet-soil,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,description,plant,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.
growth_facil,type,field-deployed-terraform,string
growth_facil,type,other-undescribed,string
growth_facil,type,soil,string
growth_facil,type,water,string
growth_facil,type,aerosol,string
growth_facil,type,aerosol-arm,string
growth_facil,type,pure-culture,string
growth_facil,type,culture-environmental,string
growth_facil,type,commercially-purchased,string
growth_facil,type,mixed-culture,string
growth_facil,type,sediment,string
growth_facil,type,terraform,string
growth_facil,type,synthesized-material,string
growth_facil,type,monet-soil,string
growth_facil,type,plant,string
growth_facil,enum,field-deployed-terraform,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,other-undescribed,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,soil,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,water,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,aerosol,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,aerosol-arm,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,pure-culture,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,culture-environmental,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,commercially-purchased,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,sediment,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,terraform,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,synthesized-material,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,monet-soil,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_facil,enum,plant,fieldcommercially purchasedexperimental gardenfield incubationgreenhousegrowth chamberlab incubationopen top chamberother
growth_habit,title,other-undescribed,growth habitat
growth_habit,title,plant,growth habit
growth_habit,description,other-undescribed,Characteristic shape appearance or growth form of a plant species
growth_habit,description,plant,Characteristic shape appearance or growth form of a plant species
growth_habit,type,other-undescribed,string
growth_habit,type,plant,string
growth_habit,enum,plant,erectsemi-erectspreadingprostrate
growth_hormone_regm,title,other-undescribed,growth hormone regimen
growth_hormone_regm,title,plant,growth hormone regimen
growth_hormone_regm,description,other-undescribed,Information about treatment involving use of growth hormones; should include the name of growth hormone amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple growth hormone regimens
growth_hormone_regm,description,plant,Information about treatment involving use of growth hormones; should include the name of growth hormone amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple growth hormone regimens
growth_hormone_regm,type,other-undescribed,string
growth_hormone_regm,type,plant,string
growth_medium,title,field-deployed-terraform,growth medium
growth_medium,title,other-undescribed,growth medium
growth_medium,title,pure-culture,growth medium
growth_medium,title,culture-environmental,growth medium
growth_medium,title,mixed-culture,growth medium
growth_medium,title,terraform,growth medium
growth_medium,description,field-deployed-terraform,Method of growth and medium/materials used. Indicate broth gel 3-D structure bioreactor etc followed by the formula recipe or components used to create the growth medium.
growth_medium,description,other-undescribed,Method of growth and medium/materials used. Indicate broth gel 3-D structure bioreactor etc followed by the formula recipe or components used to create the growth medium.
growth_medium,description,pure-culture,Method of growth and medium/materials used. Indicate broth gel 3-D structure bioreactor etc followed by the formula recipe or components used to create the growth medium.
growth_medium,description,culture-environmental,Method of growth and medium/materials used. Indicate broth gel 3-D structure bioreactor etc followed by the formula recipe or components used to create the growth medium.
growth_medium,description,mixed-culture,Method of growth and medium/materials used. Indicate broth gel 3-D structure bioreactor etc followed by the formula recipe or components used to create the growth medium.
growth_medium,description,terraform,Method of growth and medium/materials used. Indicate broth gel 3-D structure bioreactor etc followed by the formula recipe or components used to create the growth medium.
growth_medium,type,field-deployed-terraform,string
growth_medium,type,other-undescribed,string
growth_medium,type,pure-culture,string
growth_medium,type,culture-environmental,string
growth_medium,type,mixed-culture,string
growth_medium,type,terraform,string
heavy_metals,title,other-undescribed,heavy metals
heavy_metals,title,soil,heavy metals
heavy_metals,description,other-undescribed,Heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations
heavy_metals,description,soil,Heavy metals present in the sample and the concentration of the metal. For multiple heavy metals and concentrations separate them by `|`. (Example: mercury0.09 micrograms per gram|lead0.05 micrograms per gram
heavy_metals,type,other-undescribed,string
heavy_metals,type,soil,string
heavy_metals_meth,title,other-undescribed,heavy metals method
heavy_metals_meth,title,soil,heavy metals method
heavy_metals_meth,description,other-undescribed,Reference or method used in determining heavy metals
heavy_metals_meth,description,soil,Reference or method used in determining heavy metals
heavy_metals_meth,type,other-undescribed,string
heavy_metals_meth,type,soil,string
herbicide_regm,title,other-undescribed,herbicide regimen
herbicide_regm,title,plant,herbicide regimen
herbicide_regm,description,other-undescribed,Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple regimens
herbicide_regm,description,plant,Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple regimens
herbicide_regm,type,other-undescribed,string
herbicide_regm,type,plant,string
horizon_meth,title,soil,soil horizon method
horizon_meth,description,soil,Reference or method used in determining the horizon
horizon_meth,type,soil,string
host_age,title,field-deployed-terraform,host age
host_age,title,other-undescribed,host age
host_age,title,terraform,host age
host_age,description,field-deployed-terraform,Age of host at the time of sampling; relevant scale depends on species and study e.g. Could be seconds for amoebae or centuries for trees. (Unit: a (year) or d (day) or h (hour). Do not include the additional information in ().)
host_age,description,other-undescribed,Age of host at the time of sampling; relevant scale depends on species and study e.g. Could be seconds for amoebae or centuries for trees
host_age,description,terraform,Age of host at the time of sampling; relevant scale depends on species and study e.g. Could be seconds for amoebae or centuries for trees. (Unit: a (year) or d (day) or h (hour). Do not include the additional information in ().)
host_age,type,field-deployed-terraform,string
host_age,type,other-undescribed,string
host_age,type,terraform,string
host_common_name,title,field-deployed-terraform,host common name
host_common_name,title,other-undescribed,host common name
host_common_name,title,pure-culture,host common name
host_common_name,title,culture-environmental,host common name
host_common_name,title,mixed-culture,host common name
host_common_name,title,terraform,host common name
host_common_name,description,field-deployed-terraform,Common name of the host
host_common_name,description,other-undescribed,Common name of the host e.g. Human
host_common_name,description,pure-culture,Common name of the host
host_common_name,description,culture-environmental,Common name of the host
host_common_name,description,mixed-culture,Common name of the host
host_common_name,description,terraform,Common name of the host
host_common_name,type,field-deployed-terraform,string
host_common_name,type,other-undescribed,string
host_common_name,type,pure-culture,string
host_common_name,type,culture-environmental,string
host_common_name,type,mixed-culture,string
host_common_name,type,terraform,string
host_disease_stat,title,other-undescribed,host disease status
host_disease_stat,description,other-undescribed,List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org non-human host diseases are free text
host_disease_stat,type,other-undescribed,string
host_dry_mass,title,field-deployed-terraform,host dry mass
host_dry_mass,title,other-undescribed,host dry mass
host_dry_mass,title,terraform,host dry mass
host_dry_mass,description,field-deployed-terraform,Measurement of dry mass. (Unit: kg or g)
host_dry_mass,description,other-undescribed,Measurement of dry mass
host_dry_mass,description,terraform,Measurement of dry mass. (Unit: kg or g)
host_dry_mass,type,field-deployed-terraform,string
host_dry_mass,type,other-undescribed,string
host_dry_mass,type,terraform,string
host_genotype,title,field-deployed-terraform,host genotype
host_genotype,title,terraform,host genotype
host_genotype,description,field-deployed-terraform,Observed genotype
host_genotype,description,terraform,Observed genotype
host_genotype,type,field-deployed-terraform,string
host_genotype,type,terraform,string
host_height,title,field-deployed-terraform,host height
host_height,title,other-undescribed,host height
host_height,title,terraform,host height
host_height,title,plant,host height
host_height,description,field-deployed-terraform,The height of subject. (Unit: cm or mm or m)
host_height,description,other-undescribed,The height of subject
host_height,description,terraform,The height of subject. (Unit: cm or mm or m)
host_height,description,plant,The height of plant. (Unit: cm or mm or m)
host_height,type,field-deployed-terraform,string
host_height,type,other-undescribed,string
host_height,type,terraform,string
host_height,type,plant,string
host_infra_spec_name,title,other-undescribed,host infra-specific name
host_infra_spec_name,description,other-undescribed,Taxonomic information about the host below subspecies level
host_infra_spec_name,type,other-undescribed,string
host_infra_spec_rank,title,other-undescribed,host infra-specific rank
host_infra_spec_rank,description,other-undescribed,Taxonomic rank information about the host below subspecies level such as variety form rank etc.
host_infra_spec_rank,type,other-undescribed,string
host_length,title,other-undescribed,host length
host_length,title,plant,host length
host_length,description,other-undescribed,The length of subject
host_length,description,plant,The length of the plant. (Unit: cm or mm or m)
host_length,type,other-undescribed,string
host_length,type,plant,string
host_life_stage,title,field-deployed-terraform,host life stage
host_life_stage,title,other-undescribed,host life stage
host_life_stage,title,terraform,host life stage
host_life_stage,title,plant,host life stage
host_life_stage,description,field-deployed-terraform,Description of life stage of host
host_life_stage,description,other-undescribed,Description of life stage of host
host_life_stage,description,terraform,Description of life stage of host
host_life_stage,description,plant,Description of life stage of the plant
host_life_stage,type,field-deployed-terraform,string
host_life_stage,type,other-undescribed,string
host_life_stage,type,terraform,string
host_life_stage,type,plant,string
host_phenotype,title,other-undescribed,host phenotype
host_phenotype,description,other-undescribed,Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP
host_phenotype,type,other-undescribed,string
host_spec_range,title,field-deployed-terraform,host specificity or range
host_spec_range,title,other-undescribed,host specificity or range
host_spec_range,title,pure-culture,host specificity or range
host_spec_range,title,culture-environmental,host specificity or range
host_spec_range,title,mixed-culture,host specificity or range
host_spec_range,title,terraform,host specificity or range
host_spec_range,description,field-deployed-terraform,The range and diversity of host species that an organism is capable of infecting defined by NCBI taxonomy identifier. Format with prefix NCBITaxon:####
host_spec_range,description,other-undescribed,The NCBI taxonomy identifier of the specific host if it is known
host_spec_range,description,pure-culture,The range and diversity of host species that an organism is capable of infecting defined by NCBI taxonomy identifier. Format with prefix NCBITaxon:####
host_spec_range,description,culture-environmental,The range and diversity of host species that an organism is capable of infecting defined by NCBI taxonomy identifier. Format with prefix NCBITaxon:####
host_spec_range,description,mixed-culture,The range and diversity of host species that an organism is capable of infecting defined by NCBI taxonomy identifier. Format with prefix NCBITaxon:####
host_spec_range,description,terraform,The range and diversity of host species that an organism is capable of infecting defined by NCBI taxonomy identifier. Format with prefix NCBITaxon:####
host_spec_range,type,field-deployed-terraform,string
host_spec_range,type,other-undescribed,integer
host_spec_range,type,pure-culture,string
host_spec_range,type,culture-environmental,string
host_spec_range,type,mixed-culture,string
host_spec_range,type,terraform,string
host_symbiont,title,other-undescribed,host symbiont
host_symbiont,description,other-undescribed,The taxonomic name of the organism(s) found living in mutualistic commensalistic or parasitic symbiosis with the specific host.
host_symbiont,type,other-undescribed,string
host_taxid,title,field-deployed-terraform,host taxonomy identifier
host_taxid,title,other-undescribed,host taxonomy identifier
host_taxid,title,pure-culture,host taxonomy identifier
host_taxid,title,culture-environmental,host taxonomy identifier
host_taxid,title,mixed-culture,host taxonomy identifier
host_taxid,title,terraform,host taxonomy identifier
host_taxid,description,field-deployed-terraform,NCBI taxa ID. Format with prefix NCBITaxon:####
host_taxid,description,other-undescribed,NCBI taxa ID
host_taxid,description,pure-culture,NCBI taxa ID. Format with prefix NCBITaxon:####
host_taxid,description,culture-environmental,NCBI taxa ID. Format with prefix NCBITaxon:####
host_taxid,description,mixed-culture,NCBI taxa ID. Format with prefix NCBITaxon:####
host_taxid,description,terraform,NCBI taxa ID. Format with prefix NCBITaxon:####
host_taxid,type,field-deployed-terraform,string
host_taxid,type,other-undescribed,string
host_taxid,type,pure-culture,string
host_taxid,type,culture-environmental,string
host_taxid,type,mixed-culture,string
host_taxid,type,terraform,string
host_tot_mass,title,field-deployed-terraform,host total mass
host_tot_mass,title,other-undescribed,host total mass
host_tot_mass,title,terraform,host total mass
host_tot_mass,description,field-deployed-terraform,Total mass of the host at collection. (Unit: kg or g)
