slot,property,value,sample_type_count,sample_types,primary_or_modification
calcium,description,Concentration of calcium in the sample,1,other-undescribed,modification
calcium,description,Concentration of calcium in the sample (Unit: mg/L or umol/L or ppm),2,"water, sediment",primary
calcium,pattern,^\d+(\.\d+)?\s*(mg/L|umol/L|ppm)$,2,"water, sediment",primary
calcium,title,calcium,2,"other-undescribed, water",primary
calcium,title,calcium concentration,1,sediment,modification
calcium,type,string,3,"other-undescribed, water, sediment",primary
carb_dioxide,description,Amount of carbon dioxide measured in the air the day of sampling. (Unit: umol/L or ppm),1,aerosol,primary
carb_dioxide,description,Amount of carbon dioxide measured in the air the day of sampling. Provided by ARM,1,other-undescribed,modification
carb_dioxide,description,Amount of carbon dioxide measured in the air the day of sampling. Provided by ARM. Provide value and unit any unit is valid,1,aerosol-arm,modification
carb_dioxide,pattern,^\d+(\.\d+)?\s*(umol/L|ppm)$,1,aerosol,primary
carb_dioxide,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,1,aerosol-arm,modification
carb_dioxide,title,carbon dioxide,3,"other-undescribed, aerosol, aerosol-arm",primary
carb_dioxide,type,string,3,"other-undescribed, aerosol, aerosol-arm",primary
carb_monoxide,description,Amount of carbon monoxide measured in the air the day of sampling. (Unit: umol/L or ppm),1,aerosol,primary
carb_monoxide,description,Amount of carbon monoxide measured in the air the day of sampling. Provided by ARM,1,other-undescribed,modification
carb_monoxide,description,Amount of carbon monoxide measured in the air the day of sampling. Provided by ARM. Provide value and unit any unit is valid,1,aerosol-arm,modification
carb_monoxide,pattern,^\d+(\.\d+)?\s*(umol/L|ppm)$,1,aerosol,primary
carb_monoxide,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,1,aerosol-arm,modification
carb_monoxide,title,carbon monoxide,3,"other-undescribed, aerosol, aerosol-arm",primary
carb_monoxide,type,string,3,"other-undescribed, aerosol, aerosol-arm",primary
carb_nitro_ratio,description,Ratio of amount or concentrations of carbon to nitrogen,1,other-undescribed,modification
carb_nitro_ratio,description,Ratio of amount or concentrations of carbon to nitrogen.,2,"water, sediment",primary
carb_nitro_ratio,title,carbon nitrogen ratio,2,"water, sediment",primary
carb_nitro_ratio,title,carbon nitrogen ration,1,other-undescribed,modification
carb_nitro_ratio,type,string,3,"other-undescribed, water, sediment",primary
CAS,description,A unique numerical identifier assigned by the Chemical Abstract Service (CAS) a division of the American Chemical Society to chemical compounds polymers biological sequences mixtures and alloys.,1,other-undescribed,primary
CAS,title,CAS number,1,other-undescribed,primary
CAS,type,string,1,other-undescribed,primary
cas,description,A unique numerical identifier assigned by the Chemical Abstract Service (CAS) a division of the American Chemical Society to chemical compounds polymers biological sequences mixtures and alloys.,2,"commercially-purchased, synthesized-material",primary
cas,title,CAS number,2,"commercially-purchased, synthesized-material",primary
cas,type,string,2,"commercially-purchased, synthesized-material",primary
cbi,description,Indicate if any information about the strain is considered confidential business information,1,engineered-strain,primary
cbi,enum,yes|no,1,engineered-strain,primary
cbi,title,confidential business information,1,engineered-strain,primary
cbi,type,string,1,engineered-strain,primary
chem_administration,description,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi,13,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, monet-soil, plant",primary
chem_administration,title,chemical administration,12,"field-deployed-terraform, other-undescribed, soil, water, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, monet-soil, plant",primary
chem_administration,title,chemical adminstration,1,aerosol,modification
